7ED2B56A	cluster8
8166F884	cluster8
5DB3AA38	cluster8
767AE5AC	cluster8
5A9AF1CB	cluster8
7665EFF5	cluster8
7ED30B8D	cluster8
7D055AEF	cluster8
041A5DAE	cluster8
03B5D5E4	cluster9
77846013	cluster9
7CEFBEB4	cluster9
775EEA57	cluster9
80979EEE	cluster9
7CBAE182	cluster9
02D79FE6	cluster9
7E2593CA	cluster9
5BE8F84A	cluster9
781E1D97	cluster9
7FD42CD2	cluster9
7A6B224C	cluster9
8010C9B4	cluster9
7BA4FB43	cluster9
7FA3CD0C	cluster9
7669CBD9	cluster9
7D895CED	cluster9
80EBD9BA	cluster9
7BD90FAA	cluster9
77E1BC42	cluster9
7507CDC8	cluster9
7DE5C7B3	cluster9
7760B6BD	cluster9
811301CE	cluster9
09A58B2A	cluster9
7677CD33	cluster9
7B66B3E1	cluster9
79022AD1	cluster9
7ACC4CCE	cluster9
7F2D98DA	cluster9
8144A301	cluster9
7F78CB0C	cluster9
78A262B1	cluster9
8097A973	cluster9
76182E06	cluster9
7FDF9A8A	cluster9
5F077A79	cluster9
02AC1088	cluster9
760ED4A8	cluster9
807F7CE9	cluster9
76133A71	cluster9
7EF1AF26	cluster9
7907C4FF	cluster9
5893E9BE	cluster9
800B9B74	cluster9
7C2C9637	cluster9
7FA2AC18	cluster9
7DF34DD9	cluster9
789B51A7	cluster9
5E639D4F	cluster9
5DE6FF57	cluster9
7B644FD4	cluster9
6D1095BF	cluster9
7E50951A	cluster9
7DAB4355	cluster9
78F3B4A9	cluster9
7BA10A24	cluster9
82F9D72C	cluster9
5E097C61	cluster9
79D1D9AA	cluster9
76B0071E	cluster9
79D37CAF	cluster9
0841DCC7	cluster9
75B7139F	cluster9
7B3C6C80	cluster9
7CD39FEF	cluster9
7EA585F0	cluster9
8021661F	cluster9
7A664767	cluster9
03BB0C96	cluster9
7C485CD5	cluster9
7AA1F002	cluster9
7CD96E8F	cluster9
7D227584	cluster9
7F4D26BE	cluster9
7D81CD5D	cluster9
835DF269	cluster9
78EE9736	cluster9
81336ED7	cluster9
785EE87A	cluster9
80CF8FCB	cluster9
7E24F0E7	cluster9
76B419D5	cluster9
84672DF6	cluster9
7F8256F7	cluster9
7A9483C9	cluster9
7F4F5E90	cluster9
5DD4937A	cluster9
78482078	cluster9
80BF0C26	cluster9
7E65981A	cluster9
5CD63D2D	cluster9
7E9DEB9B	cluster9
05455507	cluster9
7910BF49	cluster9
7567E638	cluster9
7811B21C	cluster9
7D0F98EE	cluster9
5F503F7B	cluster9
7D16E5B0	cluster9
5D27651F	cluster9
779D2148	cluster9
832131B5	cluster9
78EC7729	cluster9
7E405DC8	cluster9
7E592D30	cluster9
81A6E36D	cluster9
76F4EF1C	cluster9
7E2DF165	cluster9
04C141D7	cluster9
5DEAF62D	cluster9
05A91508	cluster9
7D8FF4C4	cluster9
79F586E9	cluster9
7FF73B2E	cluster9
7AC2B66B	cluster9
78B50AEF	cluster9
7CFF2DEF	cluster9
58C7F757	cluster9
7BA0A2EF	cluster9
794BE137	cluster9
7C13225C	cluster9
04171505	cluster9
7BBAB360	cluster9
7A11E118	cluster9
5FD117EF	cluster9
8047ED21	cluster9
80F3C738	cluster9
7E3FFE65	cluster9
033B7554	cluster9
7DE0B6C6	cluster9
0A71A9A0	cluster9
7F8A3CB9	cluster9
5B1A708A	cluster9
7D628FED	cluster9
7F1A0257	cluster9
7E32A2D4	cluster9
7D3BAEC5	cluster9
04A3CF48	cluster9
7894F3B3	cluster9
0B9FA617	cluster9
7B8D2607	cluster9
7F80515B	cluster9
717240C0	cluster9
7C151618	cluster9
10561C1A	cluster9
026042B9	cluster9
811A6276	cluster9
808D81A9	cluster9
7DF653F5	cluster9
7D015E66	cluster9
7DF69A98	cluster9
7E46BCF4	cluster9
7B8EC6D7	cluster9
7F114BD8	cluster9
7B08C2B4	cluster9
7E3828CD	cluster9
5DA36B59	cluster9
7E6E3700	cluster9
07B6B62E	cluster9
7FF04D16	cluster9
80FE0D24	cluster9
80D9CD57	cluster9
78893A7E	cluster9
5EA74A66	cluster9
054C9325	cluster9
79BF1BCB	cluster9
76231BE8	cluster9
7E905608	cluster9
7866BC69	cluster9
76BC58D2	cluster9
5F38683E	cluster9
7C81AFBD	cluster9
810575D6	cluster9
783349B0	cluster9
7B3F30FE	cluster9
03A935C2	cluster9
7F6137CA	cluster9
78FD3DCE	cluster9
7D95D867	cluster9
76FBBF9D	cluster9
7A978938	cluster9
7B19D361	cluster9
5A65AB53	cluster9
7A2483F3	cluster9
7EC9827A	cluster9
755B4400	cluster9
8179A2E6	cluster9
7EFC89E9	cluster9
5C742FCF	cluster9
7C029C66	cluster9
59E26C75	cluster9
759FDB73	cluster9
7FEC6A32	cluster9
7C4D50F2	cluster9
7C507A72	cluster9
797FBFBC	cluster9
80FD79DA	cluster9
779497B8	cluster9
7BF755F0	cluster9
7CC17A2C	cluster9
7E5D9B2D	cluster9
75191967	cluster9
7C818519	cluster9
7D3902BB	cluster9
0A7D0D1F	cluster9
78335173	cluster9
7EEB5449	cluster9
5A817D79	cluster9
7D413F3B	cluster9
60E3DB7F	cluster9
769612A9	cluster9
7895CBCE	cluster9
768CEA8A	cluster9
772F5912	cluster9
5CF26AD5	cluster9
7F5AD3B8	cluster9
808CD921	cluster9
5F7F8BE1	cluster9
5FAB5030	cluster9
7A84B859	cluster9
7C7A7048	cluster9
58724CE1	cluster9
02237C20	cluster9
7BB2CCE2	cluster9
590D6040	cluster9
814C1D40	cluster9
5DDE7F8B	cluster9
816A9E7D	cluster9
06F29F91	cluster9
79C3F3EE	cluster9
7E85E805	cluster9
7F911AAF	cluster9
77E7AF7E	cluster9
5AD4862F	cluster9
7FC38633	cluster9
58C7BA80	cluster9
8120C2BD	cluster9
7B696D4C	cluster9
7F6427A8	cluster9
80BECA8A	cluster9
0AC7CD77	cluster9
58E5BDF3	cluster9
7B34AA92	cluster9
5D9B3B45	cluster9
728984A0	cluster9
047B6E6C	cluster9
5E531F5D	cluster9
8097648A	cluster9
80E27B99	cluster9
7636F3A8	cluster9
7FDFCD06	cluster9
7CF17208	cluster9
7579E3C4	cluster9
813C365A	cluster9
773BE827	cluster9
7A41D111	cluster9
7DAAD935	cluster9
7694E8EC	cluster9
7511BAFD	cluster9
591DEC56	cluster9
7FB26C43	cluster9
83EB382F	cluster9
803D1896	cluster9
797CE16D	cluster9
7E7D5C4E	cluster9
7A43433B	cluster9
7F172966	cluster9
7ACD5497	cluster9
7F10749B	cluster9
7EB829AA	cluster9
80C16DEA	cluster9
5CA2D2B7	cluster9
7E10520B	cluster9
80C6DFCC	cluster9
8145122E	cluster9
80CF4363	cluster9
7B2194D8	cluster9
80DE71E5	cluster9
7FBC5D71	cluster9
7DD73D95	cluster9
7ACBDEAB	cluster9
799E278F	cluster9
761AB8A5	cluster9
7BFBB156	cluster9
76018EC2	cluster9
7D3122D8	cluster9
7FEF9545	cluster9
6FA80AEC	cluster9
7B4B52E7	cluster9
7511B404	cluster9
5995BFC1	cluster9
76D2EE51	cluster9
7BA2EFA8	cluster9
79F3CD41	cluster9
7D58A210	cluster9
7E091976	cluster9
7FCFD776	cluster9
7B44EC22	cluster9
75A92E56	cluster9
05F0C8A2	cluster9
85F95D90	cluster9
592AF091	cluster9
7F20093F	cluster9
79E683B7	cluster9
03E13642	cluster9
75B60A56	cluster9
7CE6C3EB	cluster9
80BA10E4	cluster9
7ECBA3A4	cluster9
6A22B1E1	cluster9
79A7B09E	cluster9
7F3E2987	cluster9
0016BF33	cluster9
807E4242	cluster9
85B16F86	cluster9
7B777227	cluster9
78A83B1E	cluster9
75B06A81	cluster9
7DCBB8ED	cluster9
78D0E793	cluster9
0A2DEB97	cluster9
7D9B8302	cluster9
80C5274C	cluster9
80B881B3	cluster9
07DAD312	cluster10
5C189E5F	cluster10
013FC959	cluster10
08191874	cluster10
77A20A0E	cluster10
7DA2D688	cluster10
77DC2867	cluster10
5860F3FF	cluster10
5A637BA6	cluster10
7B9B7E74	cluster10
7D589ED4	cluster10
7748EE16	cluster10
7FA4AF8B	cluster10
777862E8	cluster10
08D576A5	cluster10
7E49C059	cluster10
7F72BE8E	cluster10
7635A59A	cluster10
7E65FB9C	cluster10
7A237004	cluster10
78215306	cluster10
790F00BE	cluster10
06ACAD4C	cluster10
7FC9E187	cluster10
77DA4C98	cluster10
78A1C91A	cluster10
8040DD81	cluster10
7B79AFAC	cluster10
685E8C32	cluster10
7B7352DC	cluster10
5B32C86D	cluster10
817DF2C7	cluster10
724F3C2E	cluster10
01CE8995	cluster10
7F0DF1A6	cluster10
08ACDFE7	cluster10
8467B638	cluster10
77E00720	cluster10
5E01B075	cluster10
7954C858	cluster10
7CE84939	cluster10
7D9AF5AE	cluster10
58C54FD4	cluster10
75B5BA61	cluster10
584A9EDF	cluster10
7A9852D2	cluster10
0429BB07	cluster10
0808C771	cluster10
84208602	cluster10
7D133744	cluster10
81F21016	cluster10
75B2B5E8	cluster10
8090C9F5	cluster10
7F34310C	cluster10
77375C1F	cluster10
7D28DD4E	cluster10
7CC0CA1D	cluster10
7B45289B	cluster10
078BA10A	cluster10
759F6688	cluster10
7D1CC987	cluster10
7980A933	cluster10
799AC9C8	cluster10
77F6C5D7	cluster10
7C79C1D3	cluster10
83E4EBF8	cluster10
7F4C0EAF	cluster10
7C603A75	cluster10
7E134F1F	cluster10
5FD46B68	cluster10
7EBCBBE2	cluster10
755907FC	cluster10
7C3C02D3	cluster10
5C929763	cluster10
721EE117	cluster10
03788DE4	cluster10
788D38A7	cluster10
7DA77A28	cluster10
5EE47657	cluster10
7E540805	cluster10
7F26C146	cluster10
7D8EFC55	cluster10
7A849828	cluster10
7B12FA97	cluster10
751CA244	cluster10
7F1F42EE	cluster10
7008145C	cluster10
8174BF3F	cluster10
83AD37D8	cluster10
5CF2666E	cluster10
7AD55AC0	cluster10
5D63457A	cluster10
59F7D916	cluster10
0BA5041E	cluster10
7EFD44D9	cluster10
7D963CD0	cluster10
7679379F	cluster10
78E6AE52	cluster10
7269B759	cluster10
599A5AA4	cluster10
09C73BE0	cluster10
7B47A2FC	cluster10
75BF1261	cluster10
75C67851	cluster10
76850B62	cluster10
00FF09B3	cluster10
792C1138	cluster10
09EE7EB8	cluster10
749A0272	cluster10
5F35D7EB	cluster10
7F8FEC97	cluster10
5C238A81	cluster10
7DF115AC	cluster10
04551B16	cluster10
7F21C94F	cluster10
8121138C	cluster10
787288CE	cluster10
77144B1F	cluster10
7BE6932B	cluster10
7BEAADF7	cluster10
7FE8DF48	cluster10
7FC81598	cluster10
7F2147FD	cluster10
81563C7D	cluster10
7BF8830A	cluster10
7F314CFB	cluster10
000B2298	cluster10
71F1A0BE	cluster10
7E526CA7	cluster10
7E4C5EE4	cluster11
7DCCC0E2	cluster11
83FC8283	cluster12
5CEB8990	cluster12
76FEAA68	cluster12
5850AF8C	cluster12
02A16379	cluster12
7DAA51B1	cluster12
7D9DA7E3	cluster12
76F995BC	cluster12
75FD17AD	cluster12
80C68299	cluster12
7F5618DE	cluster12
78D1D464	cluster12
7A774D1E	cluster12
780EBE50	cluster12
78775308	cluster12
7C9C124E	cluster12
7A179C3A	cluster12
76172BDE	cluster12
7A11B95E	cluster12
5B1B5E70	cluster12
7B8874A0	cluster12
072AB962	cluster12
796AE1C9	cluster12
045EAFAB	cluster12
7863870C	cluster12
79E33FD8	cluster12
8141752A	cluster12
7F02FC5C	cluster12
7F5F4F96	cluster12
80BAB96D	cluster12
7FA2D62B	cluster12
5B1B68CB	cluster12
5BD6D379	cluster12
768AE10A	cluster12
5D58F4BC	cluster12
5DDEFE58	cluster12
7FE11C3B	cluster12
74297392	cluster12
7F554CE9	cluster12
03C59C30	cluster12
762EA93D	cluster12
79BBBAF6	cluster12
79D3736C	cluster12
8059115E	cluster12
753D6E23	cluster12
765C954E	cluster12
78685AE1	cluster12
79EB855B	cluster12
0ADDE019	cluster12
7E32F511	cluster12
7F3D5D18	cluster12
585BD92A	cluster12
7E645826	cluster12
77CA1869	cluster12
76A1A6F4	cluster12
7E3DBAD0	cluster12
7FA13E24	cluster12
7CB23137	cluster12
79501B71	cluster12
5CD3ADB3	cluster12
808D13AE	cluster12
7C62549A	cluster12
5C8C9338	cluster12
80E884F4	cluster12
810CB32E	cluster12
79AC00F6	cluster12
59335EBB	cluster12
7E976D60	cluster12
